Code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific.name,DBH,DBHClass,Native,BehaviourType,Type
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Copulate,8:42,Norway maple,Acer platanoides,56,Large,No,Reproduction,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Copulate,8:42,Norway maple,Acer platanoides,56,Large,No,Reproduction,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Vocalize,8:44,Norway maple,Acer platanoides,56,Large,No,Territory_defense,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Vocalize,8:44,Norway maple,Acer platanoides,56,Large,No,Territory_defense,Street
S01,02/07/2024,8:48,9:08,21,1,2,Tuesday,AMCR,Corvus brachyrhynchos,Perch,8:53,Norway maple,Acer platanoides,58,Large,No,Rest,Street
S13,17/05/2024,6:59,7:19,16,4,2,Friday,AMRO,Turdus migratorius,Vocalize,7:00,Norway maple,Acer platanoides,60,Large,No,Territory_defense,Street
S08,17/05/2024,8:14,8:34,16,4,2,Friday,LEFL,Empidonax minimus,Sally,8:24,Norway maple,Acer platanoides,60,Large,No,Foraging,Street
S08,17/05/2024,8:14,8:34,16,4,2,Friday,HOSP,Passer domesticus,Glean,8:28,Norway maple,Acer platanoides,60,Large,No,Foraging,Street
S08,17/05/2024,8:14,8:34,16,4,2,Friday,AMCR,Corvus brachyrhynchos,Attack squirrel ,8:30,Norway maple,Acer platanoides,60,Large,No,Territory_defense,Street
S08,17/05/2024,8:14,8:34,16,4,2,Friday,HOSP,Passer domesticus,Perch,8:33,Norway maple,Acer platanoides,60,Large,No,Rest,Street
S13,21/06/2024,8:30,8:50,21,3,3,Friday,COGR,Quiscalus quiscula,Perch,8:47,Norway maple,Acer platanoides,63,Large,No,Rest,Street
S04,09/07/2024,6:57,7:17,22,4,2,Tuesday,BCCH,Poecile atricapillus,Glean,7:12,Norway maple,Acer platanoides,64,Large,No,Foraging,Street
S21,26/06/2024,7:49,8:09,21,3,3,Wednesday ,BCCH,Poecile atricapillus,Perch,7:56,Norway maple,Acer platanoides,68,Large,No,Rest,Street
S21,26/06/2024,7:49,8:09,21,3,3,Wednesday ,BCCH,Poecile atricapillus,Vocalize,7:56,Norway maple,Acer platanoides,68,Large,No,Territory_defense,Street
S21,26/06/2024,7:49,8:09,21,3,3,Wednesday ,BCCH,Poecile atricapillus,Hop,7:56,Norway maple,Acer platanoides,68,Large,No,Foraging,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Vocalize,8:41,Norway maple,Acer platanoides,68,Large,No,Territory_defense,Street
S13,03/07/2024,8:25,8:45,21,1,3,Wednesday,CHSP,Spizella passerina,Perch,8:44,Norway maple,Acer platanoides,68,Large,No,Rest,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,AMCR,Corvus brachyrhynchos,Preen,8:17,Norway maple,Acer platanoides,70,Large,No,Grooming,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,AMCR,Corvus brachyrhynchos,Perch,8:17,Norway maple,Acer platanoides,70,Large,No,Rest,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,AMCR,Corvus brachyrhynchos,Vocalize,8:17,Norway maple,Acer platanoides,70,Large,No,Territory_defense,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Perch,8:18,Norway maple,Acer platanoides,70,Large,No,Rest,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Perch,8:18,Norway maple,Acer platanoides,70,Large,No,Rest,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Perch,8:18,Norway maple,Acer platanoides,70,Large,No,Rest,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Perch,8:18,Norway maple,Acer platanoides,70,Large,No,Rest,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,AMCR,Corvus brachyrhynchos,Preen,8:20,Norway maple,Acer platanoides,70,Large,No,Grooming,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,HOSP,Passer domesticus,Perch,8:25,Norway maple,Acer platanoides,70,Large,No,Rest,Street
S08,04/06/2024,8:15,8:35,18,1,2,Tuesday,EUST,Sturnus vulgaris,Vocalize,8:29,Norway maple,Acer platanoides,70,Large,No,Territory_defense,Street
