"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Perch","9:12","Common hackberry","Celtis occidentalis","25","Male NOCA","Rest","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Perch","9:12","Common hackberry","Celtis occidentalis","25","Female NOCA","Rest","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Peck","9:12","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Peck","9:12","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","HOSP","Passer domesticus","Bill wipe","9:13","Common hackberry","Celtis occidentalis","25","","Grooming","Street","NA","NA"
"S06","31/05/2024","9:03","9:23",15,1,2,"Friday","NOCA","Cardinalis cardinalis","Hop","9:22","Common hackberry","Celtis occidentalis","25","","Foraging","Street","NA","NA"
"S13","31/05/2024","10:04","10:24",19,1,2,"Friday",NA,"","","","","","","Very quiet","NA","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Peck","7:21","Silver maple","Acer saccharinum","105","Many, many squirrels on this street. 3 cats. BCCH on Sugar maple after survey. ","Foraging","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Peck","7:23","Silver maple","Acer saccharinum","105","","Foraging","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Peck","7:25","Silver maple","Acer saccharinum","105","","Foraging","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Vocalize","7:25","Silver maple","Acer saccharinum","105","","Territory_defense","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Feed young","7:25","Sugar maple","Acer saccharum","4","","Reproduction","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Feed young","7:25","Sugar maple","Acer saccharum","4","","Reproduction","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:25","Sugar maple","Acer saccharum","4","","Rest","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:27","Sugar maple","Acer saccharum","4","","Rest","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:28","Sugar maple","Acer saccharum","4","","Rest","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:33","Silver maple","Acer saccharinum","105","","Rest","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Perch","7:33","Silver maple","Acer saccharinum","105","","Rest","Street","NA","NA"
"S10","03/06/2024","7:20","7:40",21,1,2,"Monday","HOSP","Passer domesticus","Bill wipe","7:34","Silver maple","Acer saccharinum","105","","Grooming","Street","NA","NA"
